description,COMMODITY_LEAF_PREDICTED
WIRE THHN-14-GRN-SOL-CU-500S,899956
T&B 5410803 CU CDR CMPRN CONN 20/BX 200/CSMG,899867
EPATCH5E7BL 7 FT. CAT 5E BLUE PATCH CORD WITH BOOTS,899752
EDW 7005-G5 24VAC HOTEL ROOM ANNUN HOTEL ROOM ANNUNCIATOR KIT 1/BX,899816
PVC 4IN EPR COND REPAIR KIT EPR55 077957 SK4040 8/BX,899866
WIRE NM-B-10/3-CU-WG 1 X 250'C,899958
JUNO R4WH 4FT WHITE TRAC,898859
T&B H971U 1-1/0 RING TERM BULK 100/BX 1000/CS,899833
FTG SC-300 F698 3-IN D/C SQZ FLEX CONN 1/BX 10/CS,899869
"MIDA RLA191245B 84""H BLACK ALUMINUM RELAY RACK WITH 12-24 THREADS",899915
"UNIS HFLW031EG 5/16"" FLAT WASHER ELECTRO GALVANIZED FINISH",899859
EDW 6536-G5 24VAC HORN/STROBE HORN AND STROBE 1/BX,899752
T&B 54148UB 1AWG 90D GRN 1H CP LG 20/BX 200/CSM,899830
WIRE THHN-4-BRN-19STR-CU-5000MSTR,899956
WIRE THHN-2-WHT-19STR-CU-2500MSTR,899956
WIRE THHN-1/0-RED-19STR-CU-2500MSTR,899956
LEV 2511 LKG PLUG L21-20P 1/BOX 10/CASE,900010
"FTG 1401 F4200 1-1/4"" TO 3"" ADJ WIRE HLDR 20/CS",899752
FTG GBL-200 FGB-510 3/4 INS GRD BUSHING 100/BX 500/CS,899877
JUNO T23BL CPLG FOR SFC TRACK BLACK,898859
WIRE TFFN-16-PUR-26STR-CU-500S,899956
"UNIS HHXN037EG 3/8"" HEX NUT ELECTRO GALVANIZED FINISH",899859
T&B 54106UB 4AWG GRY 1H 90D COP LUG 50/BX 500/CS,899830
WIRE THHN-4/0-ORG-19STR-CU-2500MSTR,899956
LEV 2536 SGL PIN PLNGR FLUORLMPHLDR 10/BOX 100/CASE,899978
LEV 2537 SGL PIN FIXED FLUORLMPHLDR 10/BOX 100/CASE,899978
CONTECH CTL2830 PAR30 GIMBAL WHITE,899752
UNIS HLKW025EG 1/4 LOCKWASHER,899859
L-FSE FLNR035ID 250V INDCATOR FUSE 10/BX,899807
IDEAL 35-053 RATCHET CABLE CUTTER 750 KCMIL ,899916
IDEAL 35-078 DRILL POWERED CBL CTR 1/BX 1/CS,900031
GE F60T12/CW/HO/15PK FLUOR LAMP 15/CASE   23075  **WM,898899
T&B 54109UB 1/0AWG PNK 1H 90D CU LG 10/BX 100/CS,899830
"UNIS HHCS037250EG 3/8"" X 2-1/2"" HEX HEAD CAP SCREW ELECTRO GALVANIZED FINISH",899859
T&B 54111 3/0AWG ORANGE 1H COP LUG 10/BX 100/CS,899830
T&B 54112 4/0AWG PURPLE 1H COP LUG 10/BX 100/CS,899830
T&B 54113 250MCM YEL 1H COP LUG 10/BX 100/CS,899830
T&B 54118 500MCM BRN 1H COP LUG 6/BX 60/CS,899830
T&B 54130 8AWG RED 1H COP LUG 50/BX 500/CS,899830
WIRE TFFN-16-RED-26STR-CU-500S,899956
T&B 54136 6AWG BLUE 1H COP LUG 50/BX 500/CS,899830
T&B 54140 4AWG GREY 1H COP LUG 50/BX 500/CS,899830
CUL 91613 1/4 HS DRILL 12/PK,899850
WIRE NM-B-12/3-CU-WG-1000MSTR,899956
CUL 91621 3/8 HS DRILL 6/PK,899850
CUL 91629 1/2 HS DRILL 6/PK,899850
T&B 54148 1AWG GRN 1H COP LUG 20/BX 200/CS,899830
T&B 54150 1AWG GRN 1H COP LUG 20/BX 200/CS,899830
T&B K971 2/0-3/0 RING TERM BULK 50/BX 250/CS,899833
STI SSP4S PUTTY PAD 20/BX,899752
CRC 14085 12-OZ DUSTER AEROSOL 12/BX,899752
T&B 54111UB 3/0AWG ORG 1H 90D CU LG 10/BX 100/CS,899830
L-FSE FLSR025ID 600V IND FUSE 10/BX,899807
T&B 54160 2/0AWG BLK 1H COP LUG 10/BX 100/CS,899830
L-FSE JTD200 POWER FUSE 1/BX,899807
T&B 54167 4/0AWG PURPLE 1H COP LUG 10/BX 100/CS,899830
T&B 54170 4/0AWG PURPLE 1H COP LUG 10/BX 100/CS,899830
