COMMODITY CODE DESCRIPTION_Level 1,COMMODITY CODE_Level 1,COMMODITY CODE DESCRIPTION_Level 2,COMMODITY CODE_Level 2,COMMODITY CODE DESCRIPTION_Level 3,COMMODITY CODE_Level 3,COMMODITY CODE DESCRIPTION_Level 4,COMMODITY CODE_Level 4,COMMODITY_LEAF
"Wire Terminations, Connections & Grounding",899720,Grounding,899812,Grounding Bars,901218,,,901218
"Wire Terminations, Connections & Grounding",899720,Connectors,899822,Metal Clad Cable Connectors,899843,,,899843
Lighting,898795,Emergency Lighting,898801,Exit Signs,898812,,,898812
Electrical Distribution,899719,Metering,899740,Meters,899792,,,899792
"Safety, Signaling & Alarms",898934,Personal Protective Equipment,898942,Ear Protection,898945,,,898945
Lighting,898795,Emergency Lighting,898801,Emergency Lighting,898814,Emergency Remote Heads,898816,898816
Tools & Equipment,899709,Batteries & Power,899914,D Batteries,899965,,,899965
Data & Communication,901107,Category 6,901136,6 Patch Panel,901151,,,901151
"Wire, Cords & Cables",899715,Data Communication & Low Voltage Cable,899726,Category Cable,899938,,,899938
Tools & Equipment,899709,"Guides, Manuals & Specifications",899910,,,,,899910
Lighting,898795,Lighting Controls,898803,Power Packs,898875,,,898875
"Fittings, Hardware & Cable Management",899717,Chain & Tie Wire,899854,Tie Wire,899882,,,899882
"Wire, Cords & Cables",899715,Data Communication & Low Voltage Cable,899726,Fiber Optic Cable,899941,,,899941
Electrical Distribution,899719,Circuit Breakers,899732,Enclosed Breakers,899781,,,899781
"Fittings, Hardware & Cable Management",899717,"Nails, Screws, Washers & Anchors",899848,Nails,899849,,,899849
Electrical Distribution,899719,Control & Automation,899736,Enclosure Controls,899769,,,899769
"Wiring Devices, Boxes & Plates",899718,Receptacles,899932,Weather Resistant Receptacles,899980,,,899980
Tools & Equipment,899709,Batteries & Power,899914,AA Batteries,899962,,,899962
Tools & Equipment,899709,"Chemicals, Lubricants & Paint",899897,Insecticides,899900,,,899900
"Wire Terminations, Connections & Grounding",899720,Connectors,899822,,,,,899822
"Conduit, Raceway & Strut",899716,Raceway,899737,Metal Single Channel Raceway,899972,,,899972
"Wiring Devices, Boxes & Plates",899718,Boxes & Accessories,899934,Junction Boxes,899751,,,899751
Electrical Distribution,899719,Circuit Breakers,899732,,,,,899732
"Wire Terminations, Connections & Grounding",899720,Wire Terminals,899819,,,,,899819
Electrical Distribution,899719,Temporary Power,899741,Unmetered Outlets,899798,,,899798
"Wire Terminations, Connections & Grounding",899720,Connectors,899822,Set Screw Connectors,901227,,,901227
Tools & Equipment,899709,Batteries & Power,899914,C Batteries,899964,,,899964
"Wiring Devices, Boxes & Plates",899718,Surge Protected Devices,900011,,,,,900011
"Fittings, Hardware & Cable Management",899717,Chain & Tie Wire,899854,Chain,899881,,,899881
"Safety, Signaling & Alarms",898934,Fire Safety & Protection,898935,,,,,898935
Lighting,898795,Lighting Parts & Accessories,898806,Lighting Adaptors,901181,,,901181
Data & Communication,901107,Fiber Optic,901115,Fiber Cable,901137,,,901137
Tools & Equipment,899709,,,,,,,899709
Lighting,898795,Emergency Lighting,898801,Emergency Accessories,898817,Emergency Retrofit Kits,898819,898819
Data & Communication,901107,,,,,,,901107
Electrical Distribution,899719,Control & Automation,899736,,,,,899736
Lighting,898795,Indoor Lighting,898798,Commercial Linear Fixtures,899660,,,899660
